NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
676,12,34018803,3463,12934,0
794,21,41596522,2541,15040,1
720,30,35889758,2503,13832,2
702,27,36162902,2899,13406,0
651,21,32989409,1990,12280,1
575,23,29128064,2635,11006,0
797,12,39152099,2486,14962,2
799,22,40529364,3008,15144,2
658,15,31708266,2873,12371,4
648,10,30867850,2319,12370,4
538,20,25727146,2110,10205,1
750,18,37159292,2294,14161,1
632,17,31168758,2774,11919,2
570,23,28806856,2685,10765,0
565,22,28097856,2330,10652,1
676,20,35281985,1752,12939,0
768,23,37651523,2597,14583,4
538,29,26151138,2854,10243,0
530,21,25981095,2979,9869,2
729,26,36154187,2459,13644,1
678,28,34167666,2510,12926,1
713,20,34956189,2864,13654,0
781,28,39225385,2581,14626,1
581,21,29220827,2254,11077,0
712,30,35836241,2396,13393,0
762,17,37678163,2244,14457,0
744,21,36993322,2492,13952,2
541,17,26417802,2451,10057,1
640,21,32422931,2546,12137,0
740,16,37278621,2629,14158,4
682,22,34817446,2335,12841,0
545,10,27611823,1831,10589,0
695,24,33928958,2581,13062,2
701,26,33721206,2504,13468,0
755,16,36832473,2766,14287,0
713,27,37351370,2728,13530,0
790,25,40379532,2425,14890,0
770,15,37832556,2946,14456,2
628,11,31484610,2732,11835,2
712,27,35493461,2136,13434,2
648,24,31439421,2545,12312,0
500,30,25578368,2018,9467,0
534,19,26378421,2783,10112,4
646,27,31996646,2468,12196,0
606,27,29189237,2489,11513,5
763,16,37397985,2784,14458,0
703,21,34802858,2074,13200,0
648,10,32421506,2707,12252,5
793,22,40514347,2305,15090,0
562,30,27733905,2446,10694,3
560,28,28679411,2505,10456,1
697,27,34370128,2327,13192,0
566,11,28714579,3032,10610,0
693,22,33899301,2639,13203,2
505,26,25108770,2890,9669,1
645,29,31675593,2578,12040,1
671,14,33025613,2761,12726,0
678,30,33859204,2419,12669,0
589,15,29622643,2911,11097,0
546,20,27018052,2226,10252,0
715,12,34558428,2326,13508,2
572,14,29546163,2700,10785,0
536,27,26309605,1961,10168,0
724,22,36346505,3044,13669,2
674,25,35153400,2600,12722,0
590,11,29082454,2013,11313,5
636,20,30716854,2219,12192,1
523,13,26086680,1787,9913,0
557,13,27369313,1633,10456,0
706,14,35332188,2311,13702,1
778,26,39336383,2458,14962,5
771,28,38892116,2273,14722,2
749,26,38029311,2621,14107,1
564,28,27130645,2696,10925,0
695,24,34758423,2638,13043,0
716,18,35697012,2767,13880,5
555,10,28070026,3213,10472,0
588,20,29625337,2618,11084,0
742,23,35808477,2214,14076,1
688,19,33893596,3264,13083,0
795,12,40080228,2948,15328,2
760,17,37388263,2701,14368,0
684,29,34314715,2378,12961,0
555,18,28938157,2793,10471,1
548,23,27499829,2660,10346,0
797,18,39388392,2427,15255,4
509,26,26217839,2153,9710,1
790,19,39740297,2641,15221,2
503,14,25592698,2204,9512,4
700,26,34643415,2525,13467,0
566,28,29334123,2691,10652,0
781,26,37901361,2842,14984,1
665,10,31940838,2633,12783,4
661,22,32980300,2375,12483,4
565,26,28048965,2353,10597,0
755,12,37215849,1870,14414,1
555,11,28440563,1644,10546,0
645,28,33054794,2340,12098,0
712,26,36244509,2565,13643,0
706,22,35549346,2426,13529,0
764,26,39872123,2356,14469,0
607,27,29899717,2757,11550,2
523,12,25829542,2160,9935,0
776,26,39440140,2936,14734,2
585,29,28305940,2094,11148,0
696,20,33782950,2456,13295,4
766,30,37697939,2618,14364,1
558,12,27766169,2417,10663,1
590,20,29887924,2552,11241,0
603,10,30380799,3112,11423,2
569,25,29103117,2809,10815,4
800,13,38924011,2074,15072,2
538,20,25768902,2798,10261,0
588,16,27861911,2535,11207,1
723,12,34249925,2156,13692,1
796,30,38732802,3170,15106,2
778,30,38589032,2397,14626,5
504,21,24171918,2217,9521,0
798,14,40074979,2589,15257,1
526,18,25578519,2351,10079,1
690,29,34464329,1731,13062,0
518,26,26139273,2364,9888,5
651,18,32558563,2302,12344,5
783,30,39062524,2306,14862,5
741,18,39178138,2429,14085,0
790,16,38686069,1949,14687,1
585,12,29201992,3289,10961,1
631,11,31723954,2700,12113,1
713,10,36672039,2774,13556,4
732,15,36916874,2539,13959,0
522,17,26425089,2341,9832,1
724,21,37323107,1664,13857,4
566,17,29707317,2723,10728,0
553,11,27317828,3266,10409,0
665,21,33676670,2541,12515,4
603,25,31021289,2089,11483,5
514,13,25798311,3034,9757,0
610,20,29956445,3083,11602,1
680,11,33283482,1978,12920,1
704,10,34280214,2941,13537,2
629,14,31172439,2850,12142,1
595,16,30156935,2410,11300,2
607,23,31010284,2472,11684,0
596,21,30013888,2504,11330,0
526,20,25348815,2490,10100,1
630,15,30918433,2810,11747,5
797,30,40023690,2639,15070,0
756,26,37783791,2094,14130,0
764,10,38129741,2874,14371,0
667,18,33985588,2661,12549,0
699,20,34751336,2533,13032,0
551,21,27770630,2483,10344,0
717,19,36195949,2660,13668,2
689,30,35101300,2629,13137,0
527,16,27108498,2654,10039,0
624,13,31453712,2638,11946,2
592,18,29499840,2646,11140,4
605,30,29653652,2724,11287,1
609,18,31479283,2239,11349,0
760,20,37443284,3033,14434,0
677,12,32850432,1986,12725,1
774,22,39357969,2621,14847,2
782,26,39065597,2556,14954,0
784,14,39717764,2675,14852,1
558,23,27294392,2664,10639,0
654,17,33117172,1895,12454,1
751,18,37434589,2403,14376,2
620,12,32453753,2588,11885,5
706,26,35737473,2603,13400,0
644,24,32447074,2878,12272,0
771,29,38718117,2529,14953,2
509,11,27185305,2811,9589,4
651,15,31915311,2090,12488,4
701,26,35491449,2724,13319,0
704,20,34218692,2562,13358,0
610,15,30663298,3213,11658,0
708,13,36013981,1868,13395,0
648,16,32680259,2585,12385,1
796,21,39788967,2328,15032,0
555,23,28777327,2143,10406,0
698,15,34202038,3015,13145,0
