NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
661,28,31951662,2239,12740,5
600,10,29626280,2849,11287,5
660,23,32654330,2646,12319,5
679,18,34209192,2251,12708,5
526,30,26267060,2347,9931,5
692,26,35322124,2825,13012,5
678,29,34449003,2528,12892,5
539,24,27299697,2719,10225,5
680,27,33415240,2560,13076,5
769,29,37870972,2735,14374,5
763,30,37178755,2492,14430,5
556,21,28137083,2970,10423,5
578,24,29660708,2495,11044,5
591,18,28674034,2858,11378,5
512,14,25722636,2420,9669,5
507,11,25659224,2975,9512,5
533,14,26073812,1677,10294,5
507,27,25877652,2305,9629,5
727,25,35635107,2474,13796,5
711,20,34287357,2828,13535,5
579,20,29900111,2076,10815,5
791,29,39529199,2700,14947,5
523,11,25627349,3024,10134,5
661,28,33267694,2748,12351,5
589,20,28981925,2616,11235,5
760,29,36996582,2432,14197,5
563,14,27437742,2650,10785,5
800,10,39941694,2436,15162,5
705,17,34349587,2600,13194,5
648,25,32736889,2361,12066,5
719,11,37258090,2366,13659,5
696,24,34609036,2557,13116,5
627,24,30075825,2793,11899,5
539,15,27075862,3326,10419,5
776,14,38512852,2632,14498,5
682,29,32394131,2471,13043,5
522,11,25425127,1531,9798,5
761,19,37526335,2675,14572,5
796,10,40726292,2720,15046,5
623,30,31554528,2761,11701,5
671,12,33617057,2635,12569,5
779,21,40185654,2702,14878,5
699,21,36073023,2756,13286,5
567,22,28788165,2814,10650,5
697,28,34679854,2738,13288,5
729,13,37062968,2178,13859,5
635,14,33831312,3188,12120,5
715,20,36156918,3081,13514,5
621,10,30696831,2682,11675,5
600,15,31666701,2556,11366,5
566,15,28826894,2270,10701,5
793,19,39613406,2677,15039,5
704,21,34400620,2439,13441,5
752,29,36766419,2658,14268,5
724,15,36276561,2565,13680,5
670,21,33425384,2807,12732,5
647,12,32799842,2468,12376,5
639,29,31050349,2453,12052,5
778,29,39376740,2942,14854,5
756,28,37114268,2785,14447,5
554,12,29117495,3180,10431,5
618,11,30288157,2120,11745,5
579,20,29620375,2325,11074,5
575,23,29142365,2706,10986,5
627,29,32746520,2542,11754,5
513,13,25627004,2476,9814,5
700,23,33817362,2504,13325,5
635,29,32387538,2224,11957,5
770,23,37305342,2080,14723,5
698,18,32935431,2455,13490,5
591,16,28991485,2529,11180,5
680,16,33135862,2874,12965,5
643,15,32508925,2412,12257,5
567,30,27066712,1921,10861,5
685,27,34621728,2620,13124,5
541,24,27443075,2684,10261,5
608,22,30690675,2748,11478,5
592,24,30395939,2210,11263,5
617,14,32339362,2375,11730,5
771,14,40471383,2564,14570,5
546,25,28386020,2964,10340,5
519,17,25995710,3120,9919,5
651,25,33331093,2265,12296,5
599,16,29482335,2562,11519,5
608,25,30458699,2627,11521,5
567,30,27794701,2258,10854,5
623,25,31143692,2472,11863,3
639,28,31861298,2046,11975,0
721,14,35787476,2209,13663,1
732,25,35165877,2183,13844,0
504,10,24853224,2069,9524,1
640,15,30978352,3040,12229,0
733,15,38129733,2471,13982,0
607,27,30493273,2402,11450,0
770,22,38004563,2690,14612,4
518,14,24265413,2924,9924,2
774,25,37669197,2551,14948,2
760,16,37571839,2602,14576,2
669,29,34048105,2751,12656,0
738,26,37932814,2430,14009,0
515,28,25475116,3247,9707,2
572,27,28877928,2609,10803,0
606,26,30422740,2520,11509,1
709,27,34389960,2804,13346,0
501,21,25015931,2460,9488,1
581,26,29665228,2135,11062,0
558,18,26541233,2275,10483,0
548,28,27358627,2275,10451,0
664,21,33293738,2135,12759,0
727,19,37053672,2292,13625,0
753,12,37059965,3234,14451,2
661,15,33388089,3329,12460,2
502,30,24485849,2069,9467,0
638,28,31375405,2528,12015,5
637,23,30569926,2139,12073,4
763,25,40332452,3221,14547,1
795,15,40769820,2710,15237,0
670,13,33405183,2530,12611,0
583,21,28516253,2692,11089,0
717,14,34939992,2236,13588,2
690,12,34247960,1976,12973,1
784,28,40666272,2492,15060,0
594,26,29284255,2508,11146,0
726,16,37649263,2303,13719,0
705,30,33997928,2578,13325,0
735,25,36692317,2485,14205,0
519,14,26637671,2381,9792,5
532,30,27157097,2669,10030,0
739,29,37645343,2404,14052,0
551,30,28859429,2439,10545,1
616,10,31587828,2464,11785,1
537,11,26463640,1879,10234,1
797,11,39540260,2005,15290,4
639,26,31860804,2105,12194,1
777,16,39227227,2134,14744,4
589,20,29934485,2141,11134,0
658,22,33709594,2280,12503,2
638,26,32650416,2461,11981,5
534,10,26630805,2647,10063,2
590,12,29170311,2012,11218,0
738,12,36311052,2441,14022,1
599,30,29959710,1908,11254,5
512,28,25347048,2266,9638,4
769,12,39330886,2198,14773,4
602,30,29645699,2454,11389,2
608,20,29571685,2600,11422,1
626,24,31153720,2264,11873,0
668,10,33394169,1956,12415,0
583,15,29293291,2795,10998,0
512,16,26171166,2783,9660,0
