NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
583,21,29153165,2520,11064,0
639,22,31078433,3321,11887,0
522,10,25884655,765,9869,0
632,11,30151869,3039,11934,0
645,27,32035338,2601,12251,0
773,10,38977236,2685,14682,0
558,30,27650871,2559,10433,0
668,26,33130149,2286,12715,0
689,22,35334575,2692,12967,0
661,22,33164615,2649,12538,0
513,28,25550664,2332,9593,0
784,29,38683945,2461,14899,0
800,26,40646556,2401,15244,0
580,13,28039688,2919,11027,0
776,12,38818136,2545,14543,0
775,18,38839700,2197,14580,0
509,26,26366850,2869,9763,0
653,28,32852615,2355,12389,0
551,15,26561520,1488,10459,0
589,25,30635079,2192,11365,0
676,19,34334708,2762,12966,0
720,14,36167612,2230,13717,0
614,21,30376639,2830,11681,0
590,11,29356495,2754,11122,0
517,29,26820595,2676,9712,0
680,29,34296260,2333,13032,0
703,21,35249604,2716,13567,0
641,13,32901412,2524,12318,0
791,25,39349876,2687,15084,1
527,29,26277340,2048,9988,0
564,13,29022205,2516,10556,2
715,21,35982242,2626,13592,0
755,15,37129575,2946,14303,0
669,10,33314533,1550,12793,0
609,21,30833280,2620,11488,0
561,20,28042929,2125,10552,5
773,26,38775203,2708,14647,5
537,26,26558779,2267,10220,5
579,22,28741710,2724,11100,0
781,17,37414405,2182,15091,0
714,26,34305452,2678,13599,0
510,10,25837379,1908,9698,0
742,13,36278884,2266,13954,0
546,12,27746247,2727,10342,0
734,20,36171099,2888,13861,3
774,24,39371292,2607,14652,3
553,18,27506098,2440,10528,0
558,13,27393556,2445,10436,0
762,20,37825644,2025,14681,0
757,17,37503344,2035,14461,0
575,22,29249486,2298,10781,0
670,16,32707448,3442,12769,0
763,29,39064093,2831,14501,0
713,26,36248720,2228,13451,0
690,19,35684658,2994,13104,0
675,15,35365333,2459,13084,0
526,22,27308735,2256,9895,0
513,16,24978575,2471,9734,0
547,26,26632195,2807,10310,0
725,17,36577905,2201,13585,0
525,28,27029538,2560,9894,0
660,24,32656521,2729,12291,0
