NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
623,25,31143692,2472,11863,3
639,28,31861298,2046,11975,0
721,14,35787476,2209,13663,1
732,25,35165877,2183,13844,0
504,10,24853224,2069,9524,1
640,15,30978352,3040,12229,0
733,15,38129733,2471,13982,0
607,27,30493273,2402,11450,0
770,22,38004563,2690,14612,4
518,14,24265413,2924,9924,2
774,25,37669197,2551,14948,2
760,16,37571839,2602,14576,2
669,29,34048105,2751,12656,0
738,26,37932814,2430,14009,0
515,28,25475116,3247,9707,2
572,27,28877928,2609,10803,0
606,26,30422740,2520,11509,1
709,27,34389960,2804,13346,0
501,21,25015931,2460,9488,1
581,26,29665228,2135,11062,0
558,18,26541233,2275,10483,0
548,28,27358627,2275,10451,0
664,21,33293738,2135,12759,0
727,19,37053672,2292,13625,0
753,12,37059965,3234,14451,2
661,15,33388089,3329,12460,2
502,30,24485849,2069,9467,0
638,28,31375405,2528,12015,5
637,23,30569926,2139,12073,4
763,25,40332452,3221,14547,1
795,15,40769820,2710,15237,0
670,13,33405183,2530,12611,0
583,21,28516253,2692,11089,0
717,14,34939992,2236,13588,2
690,12,34247960,1976,12973,1
784,28,40666272,2492,15060,0
594,26,29284255,2508,11146,0
726,16,37649263,2303,13719,0
705,30,33997928,2578,13325,0
735,25,36692317,2485,14205,0
519,14,26637671,2381,9792,5
532,30,27157097,2669,10030,0
739,29,37645343,2404,14052,0
551,30,28859429,2439,10545,1
616,10,31587828,2464,11785,1
537,11,26463640,1879,10234,1
797,11,39540260,2005,15290,4
639,26,31860804,2105,12194,1
777,16,39227227,2134,14744,4
589,20,29934485,2141,11134,0
658,22,33709594,2280,12503,2
638,26,32650416,2461,11981,5
534,10,26630805,2647,10063,2
590,12,29170311,2012,11218,0
738,12,36311052,2441,14022,1
599,30,29959710,1908,11254,5
512,28,25347048,2266,9638,4
769,12,39330886,2198,14773,4
602,30,29645699,2454,11389,2
608,20,29571685,2600,11422,1
626,24,31153720,2264,11873,0
668,10,33394169,1956,12415,0
583,15,29293291,2795,10998,0
512,16,26171166,2783,9660,0
687,29,34643939,2248,13052,0
651,15,33811220,1760,12319,4
764,30,39131760,2284,14403,0
507,15,23787964,2842,9593,0
796,21,39743584,2692,15115,5
